id,title,url,year,condition,volume,fuel,transmission,mileage,color,price,city,date
1,Mercedes-Benz G 63 AMG,https://kolesa.kz/a/show/161369243,2020 г.,Б/у внедорожник,4 л,бензин,КПП автомат,с пробегом 32 000 км,Без обмена! Только наличка! ТОРГ МИНИМУМ! 20...,98 000 000₸,Алматы,22 января
2,Mercedes-Benz AMG GT 43,https://kolesa.kz/a/show/161012554,2019 г.,Б/у лифтбек,3 л,бензин,КПП робот,с пробегом 45 000 км,синий,55 000 000₸,Алматы,22 января
3,Mercedes-Benz S 63 AMG,https://kolesa.kz/a/show/164739759,2015 г.,Б/у седан,5.5 л,бензин,КПП автомат,с пробегом 92 000 км,черный,32 000 000₸,Алматы,22 января
4,Mercedes-Benz S 580,https://kolesa.kz/a/show/144630386,"На заказ,2021 г.",Б/у седан,4 л,бензин,КПП автомат,с пробегом 11 100 км,черный,65 055 738₸,Алматы,22 января
5,Mercedes-Benz G 63 AMG,https://kolesa.kz/a/show/163833346,2019 г.,Б/у внедорожник,4 л,бензин,КПП автомат,с пробегом 70 800 км,черный,85 000 000₸,Алматы,22 января
6,Mercedes-Benz G 63 AMG,https://kolesa.kz/a/show/163647855,2023 г.,новый внедорожник,4 л,бензин,КПП автомат,Нет данных,Нет данных,148 000 000₸,Алматы,22 января
7,Mercedes-Benz E 320,https://kolesa.kz/a/show/164360996,1998 г.,Б/у седан,3.2 л,бензин,КПП автомат,Нет данных,литые диски,3 700 000₸,Алматы,22 января
8,Mercedes-Benz GL 500,https://kolesa.kz/a/show/164697322,2008 г.,Б/у внедорожник,5.5 л,бензин,КПП автомат,с пробегом 377 000 км,белый,7 500 000₸,Алматы,22 января
9,Mercedes-Benz E 320,https://kolesa.kz/a/show/164241179,2000 г.,Б/у седан,3.2 л,бензин,КПП автомат,с пробегом 425 км,синий,4 200 000₸,Алматы,22 января
10,Mercedes-Benz S 63 AMG,https://kolesa.kz/a/show/162692965,2014 г.,Б/у седан,5.5 л,бензин,КПП автомат,с пробегом 61 000 км,черный,35 000 000₸,Алматы,22 января
11,Mercedes-Benz C 300,https://kolesa.kz/a/show/164631692,2015 г.,Б/у седан,2 л,бензин,КПП автомат,Нет данных,металлик,13 990 000₸,Алматы,22 января
12,Mercedes-Benz C 180,https://kolesa.kz/a/show/164131614,2018 г.,Б/у седан,1.6 л,бензин,КПП автомат,с пробегом 68 000 км,черный,16 400 000₸,Алматы,22 января
13,Mercedes-Benz GL 550,https://kolesa.kz/a/show/164743119,2008 г.,Б/у внедорожник,5.5 л,бензин,КПП автомат,Нет данных,литые диски,9 000 000₸,Алматы,22 января
14,Mercedes-Benz E 230,https://kolesa.kz/a/show/164566579,1992 г.,Б/у седан,2.3 л,бензин,КПП автомат,Нет данных,металлик,2 500 000₸,Алматы,22 января
15,Mercedes-Benz S 350,https://kolesa.kz/a/show/164358451,2010 г.,Б/у седан,3.5 л,бензин,КПП автомат,с пробегом 170 000 км,черный,12 300 000₸,Алматы,22 января
16,Mercedes-Benz G 63 AMG,https://kolesa.kz/a/show/154084931,2017 г.,Б/у внедорожник,5.5 л,бензин,КПП автомат,с пробегом 45 000 км,черный,54 000 000₸,Алматы,22 января
17,Mercedes-Benz GLC Coupe 300,https://kolesa.kz/a/show/148855308,2021 г.,Б/у кроссовер,2 л,бензин,КПП автомат,с пробегом 7 300 км,черный,36 000 000₸,Алматы,22 января
18,Mercedes-Benz A 160,https://kolesa.kz/a/show/164547632,2000 г.,Б/у хэтчбек,1.6 л,бензин,КПП автомат,с пробегом 258 000 км,серебристый,2 400 000₸,Алматы,22 января
19,Mercedes-Benz E 300,https://kolesa.kz/a/show/163684451,2016 г.,Б/у седан,2 л,бензин,КПП автомат,с пробегом 40 000 км,черный,23 000 000₸,Алматы,22 января
20,Mercedes-Benz G 55 AMG,https://kolesa.kz/a/show/156964293,2009 г.,Б/у внедорожник,5.5 л,бензин,КПП автомат,с пробегом 75 000 км,черный,25 000 000₸,Алматы,22 января
